Fluid,RMM,Kappa,p_crit,t_crit,W,cP_A,cP_B,cP_C,cP_D,pV_A,pV_B,pV_C,Rho
ACETYLENE,26.038,1.232714915,60.6,308.3,0.184,6.406,0.0181,-0.00001196,3.373E-09,16.3481,1637.184,-19.77,378.2
AMMONIA,17.031,1.313529844,111.3,405.6,0.25,6.524,0.005692,0.000004078,-2.83E-09,16.9481,2132.5,-32.98,682.6
ARGON,39.948,1.666706361,48.1,150.8,-0.004,4.969,-0.00000767,1.234E-08,0,15.233,700.51,-5.84,1400
BENZENE,78.114,1.062037417,48.3,562.1,0.212,8.101,0.1133,-0.00007206,1.703E-08,15.9008,2788.51,-52.36,870
CARBON DIOXIDE,44.01,1.300315176,72.8,304.2,0.225,4.728,0.01754,-0.00001338,4.097E-09,22.5898,3103.39,-0.16,1101
CARBON MONOXIDE,28.018,1.398844801,34.5,32.9,0.049,7.373,-0.00307,0.000006662,-3.037E-09,14.3686,530.22,-13.15,790
CHLORINE,70.906,1.329103733,76,417,0.073,6.432,0.008082,-0.000009241,3.695E-09,15.961,1978.32,-27.01,1470
ETHANE,30.07,1.204219605,48.2,305.4,0.098,1.292,0.04254,-0.00001657,2.081E-09,15.6637,1511.42,-17.16,540
ETHYLENE,28.054,1.256900352,49.7,282.4,0.085,0.909,0.0374,-0.00001994,4.192E-09,15.5368,1347.01,-18.15,570
FLUORINE,37.997,1.369015299,51.5,144.3,0.048,5.545,0.008734,-0.000008269,2.876E-09,15.67,714.1,-6,1500
HELIUM-4,4.003,0,2.24,5.19,-0.387,0,0,0,0,12.2514,33.7329,1.79,125
HYDROGEN,2.016,1.406216722,12.8,33.2,-0.22,6.483,0.002215,-0.000003298,1.826E-09,13.6333,164.9,3.19,71
HYDROGEN BROMIDE,80.912,1.398072154,84.4,363.2,0.063,7.32,-0.00226,0.000004114,-1.49E-09,14.4687,1242.53,-47.86,2180
HYDROGEN CHLORIDE,36.461,1.398952349,82,324.6,0.12,7.235,-0.00172,0.000002976,-9.31E-10,16.504,1714.25,-14.45,1190
HYDROGEN CYANIDE,27.026,1.31077995,53.2,456.8,0.407,5.222,0.01448,-0.00001185,4.336E-09,16.5138,2585.8,-37.15,690
HYDROGEN FLUORIDE,20.006,1.399606096,64,461,0.372,6.941,0.0001579,-4.854E-07,5.98E-10,17.6958,3404.49,15.06,990
HYDROGEN SULFIDE,34.08,1.325148987,88.2,373.2,0.1,7.629,0.0003431,0.000005809,-2.81E-09,16.104,1768.69,-26.06,790
ISOBUTANE,58.124,1.101223154,36,408.1,0.176,-0.332,0.09189,-0.00004409,6.915E-09,15.5381,2032.73,-33.15,560
ISOBUTYLENE,56.108,1.108938091,39.5,417.9,0.19,3.834,0.06698,-0.00002607,2.173E-09,15.7528,2125.75,-33.15,590
METHANE,16.043,1.322084339,45.4,190.6,0.008,4.598,0.01245,0.00000286,-2.703E-09,15.2243,897.84,-7.16,420
