Size,Type,Stages,Class,Style,Code,Cv_design,l,w,lw,A,n0,Ah,St,Stroke,Deadlift,l/w,dH,Rows,s1_d,s2_d,s3_d,s4_d,s1_dP,s2_dP,s3_dP,s4_dP,Arrangement,alpha,rowGap
02,S,1,015,L,CB-02-015-1001-S-L,90.6,26,6,0.070849556,0.000154284,20,-4.85,0.3,37.7,13.1,4.333333333,8.710513312,-,-,-,-,,1,-,-,,,0.5027,1.23
02,S,1,015,L,CU-02-015-1001-S-L,101,29,6,0.076849556,0.000172086,20,-4.85,0.3,37.7,6.1,4.833333333,8.95703289,-,-,-,-,,1,-,-,,,0.4977,1.23
02,S,1,015,L,CY-02-015-1001-S-L,90.6,26,6,0.070849556,0.000154284,20,-4.85,0.3,37.7,6.1,4.333333333,8.710513312,-,-,-,-,,1,-,-,,,0.5027,1.23
02,S,1,015,L,CW-02-015-1001-S-L,101,29,6,0.076849556,0.000172086,20,-4.85,0.3,37.7,6.1,4.833333333,8.95703289,-,-,-,-,,1,-,-,,,0.4977,1.23
02,H,1,015,L,CU-02-015-1001-H-L,85,2,2,0.006283185,3.14159E-06,608,-4.85,0.3,37.7,6.1,1,2,19,2,-,-,,1,-,-,,,0.7566,-0.36
02,H,1,015,L,CB-02-015-1001-H-L,67.1,2,2,0.006283185,3.14159E-06,480,-4.85,0.3,37.7,13.1,1,2,15,2,-,-,,1,-,-,,,0.7566,-0.36
02,H,1,015,E,CU-02-015-1001-H-E,40,2,2,0.006283185,3.14159E-06,288,-4.85,0.3,37.7,6.1,1,2,19,2,-,-,,1,-,-,,4/4/4/4/8/8/8/8/12/12/12/16/20/20/24/28/32/32/32/,0.7566,-0.36
02,H,1,015,Q,CU-02-015-1001-H-Q,67.7,2,2,0.006283185,3.14159E-06,468,-4.85,0.3,37.7,6.1,1,2,19,2,-,-,,1,-,-,,4/8/8/12/20/24/28/32/32/32/32/32/32/32/32/32/32/32/32,0.7566,-0.36
02,H,2,015,L,CU-02-015-2001-H-L,26.3,2,2,0.006283185,3.14159E-06,288,-4.85,0.3,37.7,13.1,1,2,8,2,2,-,,0.5,0.5,-,,,0.7,2.23
02,H,2,015,L,CB-02-015-2001-H-L,18.6,1.8,1.8,0.005654867,2.54469E-06,252,-4.85,0.3,37.7,13.1,1,1.8,7,1.8,1.8,-,,0.5,0.5,-,,,0.7,2
